bookID,title,isbnNumber,author,copies,availability,price
AB12,Start Python,978-1-60309-502-0,Nick Wilde,1,0,1200
AC13,Learn Java,978-1788399081,Joannes Baily,2,-1,2500
AD14,Start Programming,978-0596528126,Rose Clark,1,0,3200
AE15,Love to Code,978-0-7475-3269-9,Abraham Malenin,1,0,1350
AW17,Stat intro,0000000000000,marie,2,1,1230.00
AX15,Java begin,9780141026626 ,clarky ,2,1,1230.00
BA12,Begin python,9780306406157,Daniel,1,1,3200.00
AF15,Find us,9780747532743 ,M N Auru,2,2,2540.00
BY15,Titanic,978-0-306-40615-7,Jack Rose,2,2,1560.00
BH13,Environment Save,978-0-06-112008-4,Gardner,1,1,650.00
GH12,Hello world,978-0-261-10221-7,Programmer,2,1,4500.00
DF12,Language C,978-0-13-110362-7,Rick Wellingtom,2,2,3200.00
